PLAYER,TEAM,COLLEGE,COUNTRY,lon,lat,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER
Stojko Vrankovic,LAC,None,Croatia,15.96,45.815,Undrafted,Undrafted,Undrafted
Zan Tabak,BOS,None,Croatia,15.96,45.815,1991,2,51
Toni Kukoc,CHI,None,Croatia,15.96,45.815,1990,2,29
Adonal Foyle,GSW,Colgate,St. Vincent & Grenadines,-61.22,13.01,1997,1,8
Chris Anstey,DAL,None,Australia,150.91,-31.083,1997,1,18
Marko Milic,PHX,None,Slovenia,14.50,46.05,1997,2,33
Tariq Abdul-Wahad,SAC,San Jose State,France,2.29,48.85,1997,1,11
Tim Duncan,SAS,Wake Forest,US Virgin Islands,-83.82,34.29,1997,1,1
Martin Muursepp,DAL,None,Estonia,24.753,59.43,1996,1,25
Steve Nash,PHX,Santa Clara,Canada,-102.46,52.32,1996,1,15
Rick Fox,LAL,North Carolina,Canada,-102.46,52.32,1991,1,24
Vitaly Potapenko,CLE,Wright State,Ukraine,37.80,48.00,1996,1,12
Zydrunas Ilgauskas,CLE,None,Lithuania,25.27,54.68,1996,1,20
Arvydas Sabonis,POR,None,Lithuania,25.27,54.68,1986,1,24
Dikembe Mutombo,ATL,Georgetown,Congo,15.30,-4.32,1991,1,4
Vlade Divac,CHH,None,Serbia,20.45,44.78,1989,1,26
Patrick Ewing,NYK,Georgetown,Jamaica,-77.8,18.47,1985,1,1
Hakeem Olajuwon,HOU,Houston,Nigeria,7.49,9.072,1984,1,1
