PLAYER,TEAM,COLLEGE,COUNTRY,lon,lat,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER
Daniel Santiago,PHX,St. Vincent,Puerto Rico,-66.664,18.200,Undrafted,Undrafted,Undrafted
John Amaechi,ORL,Penn State,United Kingdom,-1.080,53.95,Undrafted,Undrafted,Undrafted
Milt Palacio,BOS,Colorado State,Belize,-87.94328,18.00,Undrafted,Undrafted,Undrafted
Pepe Sanchez,PHI,Temple,Argentina,-58.38,-34.6,Undrafted,Undrafted,Undrafted
Ruben Wolkowyski,SEA,None,Argentina,-58.38,-34.6,Undrafted,Undrafted,Undrafted
Raja Bell,PHI,Florida International,US Virgin Islands,-83.82,34.29,Undrafted,Undrafted,Undrafted
Tim Duncan,SAS,Wake Forest,US Virgin Islands,-83.82,34.29,1997,1,1
Slava Medvedenko,LAL,None,Ukraine,37.80,48.00,Undrafted,Undrafted,Undrafted
Vitaly Potapenko,BOS,Wright State,Ukraine,37.80,48.00,1996,1,12
Dalibor Bagaric,CHI,None,Croatia,15.96,45.815,2000,1,24
Bruno Sundov,IND,None,Croatia,15.96,45.815,1998,2,35
Zan Tabak,IND,None,Croatia,15.96,45.815,1991,2,51
Toni Kukoc,ATL,None,Croatia,15.96,45.815,1990,2,29
Eduardo Najera,DAL,Oklahoma,Mexico,-99.1332,19.432,2000,2,38
Hanno Mottola,ATL,Utah,Finland,24.94,60.19,2000,2,40
Hedo Turkoglu,SAC,None,Turkey,28.97,41.01,2000,1,16
Jake Tsakalidis,PHX,None,Greece,23.72,37.98,2000,1,25
Jamaal Magloire,CHH,Kentucky,Canada,-102.46,52.32,2000,1,19
Todd MacCulloch,PHI,Washington,Canada,-102.46,52.32,1999,2,47
Steve Nash,DAL,Santa Clara,Canada,-102.46,52.32,1996,1,15
Rick Fox,LAL,North Carolina,Canada,-102.46,52.32,1991,1,24
Jerome Moiso,BOS,UCLA,France,2.29,48.85,2000,1,11
Tariq Abdul-Wahad,DEN,San Jose State,France,2.29,48.85,1997,1,11
Mamadou N'diaye,TOR,Auburn,Senegal,-17.4676,14.7166,2000,1,26
Olumide Oyedeji,SEA,None,Nigeria,7.49,9.072,2000,2,42
Obinna Ekezie,DAL,Maryland,Nigeria,7.49,9.072,1999,2,37
Michael Olowokandi,LAC,Pacific,Nigeria,7.49,9.072,1998,1,1
Hakeem Olajuwon,HOU,Houston,Nigeria,7.49,9.072,1984,1,1
Soumaila Samake,NJN,None,Mali,-3.99,17.57,2000,2,36
Wang Zhi-zhi,DAL,None,China,116.38,39.916,1999,2,36
Dirk Nowitzki,DAL,None,Germany,11.43,48.77,1998,1,9
Felipe Lopez,MIN,St. John's,Dominican Republic,-69.92,18.48,1998,1,24
Rasho Nesterovic,MIN,None,Slovenia,14.50,46.05,1998,1,17
Vladimir Stepania,NJN,None,Georgia,44.78,41.71,1998,1,27
Adonal Foyle,GSW,Colgate,St. Vincent & Grenadines,-61.22,13.01,1997,1,8
Peja Stojakovic,SAC,None,Serbia,20.45,44.78,1996,1,14
Dragan Tarlac,CHI,None,Serbia,20.45,44.78,1995,2,31
Vlade Divac,SAC,None,Serbia,20.45,44.78,1989,1,26
Zydrunas Ilgauskas,CLE,None,Lithuania,25.27,54.68,1996,1,20
Arvydas Sabonis,POR,None,Lithuania,25.27,54.68,1986,1,24
Dikembe Mutombo,PHI,Georgetown,Congo,15.30,-4.32,1991,1,4
Patrick Ewing,SEA,Georgetown,Jamaica,-77.8,18.47,1985,1,1
