PLAYER,TEAM,COLLEGE,COUNTRY,lon,lat,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER
Aleksandar Djordjevic,POR,None,Serbia,20.45,44.78,Undrafted,Undrafted,Undrafted
Sasha Danilovic,DAL,None,Serbia,20.45,44.78,1992,2,43
Vlade Divac,CHH,None,Serbia,20.45,44.78,1989,1,26
Mark Bradtke,PHI,None,Australia,150.91,-31,Undrafted,Undrafted,Undrafted
Shane Heal,MIN,None,Australia,150.91,-31,Undrafted,Undrafted,Undrafted
Stojko Vrankovic,MIN,None,Croatia,15.96,45.815,Undrafted,Undrafted,Undrafted
Zan Tabak,TOR,None,Croatia,15.96,45.815,1991,2,51
Toni Kukoc,CHI,None,Croatia,15.96,45.815,1990,2,29
Dino Radja,BOS,None,Croatia,15.96,45.815,1989,2,40
Martin Muursepp,DAL,None,Estonia,24.753,59.43,1996,1,25
Steve Nash,PHX,Santa Clara,Canada,-102.46,52.32,1996,1,15
Rick Fox,BOS,North Carolina,Canada,-102.46,52.32,1991,1,24
Vitaly Potapenko,CLE,Wright State,Ukraine,37.80,48.00,1996,1,12
Gheorghe Muresan,WAS,None,Romania,26.09,44.439,1993,2,30
Dikembe Mutombo,ATL,Georgetown,Congo,15.30,-4.32,1991,1,4
Sarunas Marciulionis,DEN,None,Lithuania,25.27,54.68,1987,6,127
Arvydas Sabonis,POR,None,Lithuania,25.27,54.68,1986,1,24
Patrick Ewing,NYK,Georgetown,Jamaica,-77.8,18.47,1985,1,1
Hakeem Olajuwon,HOU,Houston,Nigeria,7.49,9.072,1984,1,1
