PLAYER,TEAM,COLLEGE,COUNTRY,lon,lat,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER
Abdel Nader,OKC,Iowa State,Egypt,31.23,30.03,2016,2,58
Al Horford,BOS,Florida,Dominican Republic,-69.92,18.48,2007,1,3
Angel Delgado,LAC,Seton Hall,Dominican Republic,-69.92,18.48,2018,,
Alex Abrines,OKC,None,Spain,-3.70,40.416,2013,2,32
Jose Calderon,DET,None,Spain,-3.70,40.416,Undrafted,Undrafted,Undrafted
Juancho Hernangomez,DEN,None,Spain,-3.70,40.416,2016,1,15
Marc Gasol,TOR,None,Spain,-3.70,40.416,2007,2,48
Pau Gasol,MIL,None,Spain,-3.70,40.416,2001,1,3
Ricky Rubio,UTA,None,Spain,-3.70,40.416,2009,1,5
Willy Hernangomez,CHA,None,Spain,-3.70,40.416,2015,2,35
Alex Len,ATL,Maryland,Ukraine,37.80,48.00,2013,1,5
Svi Mykhailiuk,DET,Kansas,Ukraine,37.80,48.00,2018,2,47
Andrew Bogut,GSW,Utah,Australia,150.91,-31.083,2005,1,1
Aron Baynes,BOS,Washington State,Australia,150.91,-31.083,Undrafted,Undrafted,Undrafted
Ben Simmons,PHI,Louisiana State,Australia,150.91,-31.083,2016,1,1
Dante Exum,UTA,None,Australia,150.91,-31.083,2014,1,5
Isaac Humphries,ATL,Kentucky,Australia,150.91,-31.083,2017,,
Joe Ingles,UTA,None,Australia,150.91,-31.083,Undrafted,Undrafted,Undrafted
Jonah Bolden,PHI,UCLA,Australia,150.91,-31.083,2017,2,36
Kyrie Irving,BOS,Duke,Australia,150.91,-31.083,2011,1,1
Matthew Dellavedova,CLE,St.Mary's College of California,Australia,150.91,-31.083,Undrafted,Undrafted,Undrafted
Mitchell Creek,MIN,None,Australia,150.91,-31.083,Undrafted,Undrafted,Undrafted
Patty Mills,SAS,St.Mary's College of California,Australia,150.91,-31.083,2009,2,55
Ryan Broekhoff,DAL,Valparaiso,Australia,150.91,-31.083,Undrafted,Undrafted,Undrafted
Andrew Wiggins,MIN,Kansas,Canada,-102.46,52.32,2014,1,1
Cory Joseph,IND,Texas-Austin,Canada,-102.46,52.32,2011,1,29
Dillon Brooks,MEM,Oregon,Canada,-102.46,52.32,2017,2,45
Dwight Powell,DAL,Stanford,Canada,-102.46,52.32,2014,2,45
Jamal Murray,DEN,Kentucky,Canada,-102.46,52.32,2016,1,7
Kelly Olynyk,MIA,Gonzaga,Canada,-102.46,52.32,2013,1,13
Khem Birch,ORL,UNLV,Canada,-102.46,52.32,Undrafted,Undrafted,Undrafted
Naz Mitrou-Long,UTA,Iowa State,Canada,-102.46,52.32,Undrafted,Undrafted,Undrafted
Nik Stauskas,CLE,Michigan,Canada,-102.46,52.32,2014,1,8
Shai Gilgeous-Alexander,LAC,Kentucky,Canada,-102.46,52.32,2018,1,11
Trey Lyles,DEN,Kentucky,Canada,-102.46,52.32,2015,1,12
Tristan Thompson,CLE,Texas-Austin,Canada,-102.46,52.32,2011,1,4
Ante Zizic,CLE,None,Croatia,15.96,45.815,2016,1,23
Bojan Bogdanovic,IND,None,Croatia,15.96,45.815,2011,2,31
Dario Saric,MIN,None,Croatia,15.96,45.815,2014,1,12
Dragan Bender,PHX,None,Croatia,15.96,45.815,2016,1,4
Ivica Zubac,LAC,None,Croatia,15.96,45.815,2016,2,32
Mario Hezonja,NYK,None,Croatia,15.96,45.815,2015,1,5
Bismack Biyombo,CHA,None,DRC,15.82,-0.228,2011,1,7
Emmanuel Mudiay,NYK,None,DRC,15.82,-0.228,2015,1,7
Boban Marjanovic,PHI,None,Serbia,20.45,44.78,Undrafted,Undrafted,Undrafted
Bogdan Bogdanovic,SAC,None,Serbia,20.45,44.78,2014,1,27
Milos Teodosic,LAC,None,Serbia,20.45,44.78,Undrafted,Undrafted,Undrafted
Nemanja Bjelica,SAC,None,Serbia,20.45,44.78,2010,2,35
Nikola Jokic,DEN,None,Serbia,20.45,44.78,2014,2,41
Bruno Caboclo,MEM,None,Brazil,-46.625,-23.533,2014,1,20
Cristiano Felicio,CHI,None,Brazil,-46.625,-23.533,Undrafted,Undrafted,Undrafted
Nene,HOU,None,Brazil,-46.625,-23.533,2002,1,7
Raul Neto,UTA,None,Brazil,-46.625,-23.533,2013,2,47
Buddy Hield,SAC,Oklahoma,Bahamas,-77.34,25.05,2016,1,6
Deandre Ayton,PHX,Arizona,Bahamas,-77.34,25.05,2018,1,1
Cedi Osman,CLE,None,Turkey,28.97,41.01,2015,2,31
Enes Freedom,POR,None,Turkey,28.97,41.01,2011,1,3
Ersan Ilyasova,MIL,None,Turkey,28.97,41.01,2005,2,36
Furkan Korkmaz,PHI,None,Turkey,28.97,41.01,2016,1,26
Cheick Diallo,NOP,Kansas,Mali,-3.996,17.570,2016,2,33
Chris Boucher,TOR,Oregon,Saint Lucia,-60.97,13.90,Undrafted,Undrafted,Undrafted
Clint Capela,HOU,None,Switzerland,6.14,46.204,2014,1,25
Thabo Sefolosha,UTA,None,Switzerland,6.14,46.204,2006,1,13
Dairis Bertans,NOP,None,Latvia,24.10,56.946,Undrafted,Undrafted,Undrafted
Davis Bertans,SAS,None,Latvia,24.10,56.946,2011,2,42
Rodions Kurucs,BKN,None,Latvia,24.10,56.946,2018,2,40
Daniel Theis,BOS,None,Germany,11.43,48.77,Undrafted,Undrafted,Undrafted
Dennis Schroder,OKC,None,Germany,11.43,48.77,2013,1,17
Dirk Nowitzki,DAL,None,Germany,11.43,48.77,1998,1,9
Isaac Bonga,LAL,None,Germany,11.43,48.77,2018,2,39
Isaiah Hartenstein,HOU,None,Germany,11.43,48.77,2017,2,43
Maxi Kleber,DAL,None,Germany,11.43,48.77,Undrafted,Undrafted,Undrafted
Moritz Wagner,LAL,Michigan,Germany,11.43,48.77,2018,1,25
Danilo Gallinari,LAC,None,Italy,12.496,41.90,2008,1,6
Marco Belinelli,SAS,None,Italy,12.496,41.90,2007,1,18
DeVaughn Akoon-Purcell,DEN,Illinois State,Trinidad and Tobago,-61.31,10.53,2016,,
Deng Adel,CLE,Louisville,South Sudan,31.57,4.85,2018,,
Thon Maker,DET,None,South Sudan,31.57,4.85,2016,1,10
Domantas Sabonis,IND,Gonzaga,Lithuania,25.27,54.68,2016,1,11
Donatas Motiejunas,SAS,None,Lithuania,25.27,54.68,2011,1,20
Jonas Valanciunas,MEM,None,Lithuania,25.27,54.68,2011,1,5
Dzanan Musa,BKN,None,Bosnia and Herzegovina,18.41,43.856,2018,1,29
Jusuf Nurkic,POR,None,Bosnia and Herzegovina,18.41,43.856,2014,1,16
Elie Okobo,PHX,None,France,2.29,48.85,2018,2,31
Evan Fournier,ORL,None,France,2.29,48.85,2012,1,20
Frank Ntilikina,NYK,None,France,2.29,48.85,2017,1,8
Guerschon Yabusele,BOS,None,France,2.29,48.85,2016,1,16
Ian Mahinmi,WAS,None,France,2.29,48.85,2005,1,28
Nicolas Batum,CHA,None,France,2.29,48.85,2008,1,25
Rudy Gobert,UTA,None,France,2.29,48.85,2013,1,27
Timothe Luwawu-Cabarrot,CHI,None,France,2.29,48.85,2016,1,24
Tony Parker,CHA,None,France,2.29,48.85,2001,1,28
Giannis Antetokounmpo,MIL,None,Greece,23.72,37.98,2013,1,15
Kostas Antetokounmpo,DAL,Dayton,Greece,23.72,37.98,2018,2,60
Goran Dragic,MIA,None,Slovenia,14.50,46.05,2008,2,45
Luka Doncic,DAL,None,Slovenia,14.50,46.05,2018,1,3
Gorgui Dieng,MIN,Louisville,Senegal,-17.4676,14.7166,2013,1,21
J.J. Barea,DAL,Northeastern,Puerto Rico,-66.664,18.200,Undrafted,Undrafted,Undrafted
Jakob Poeltl,SAS,Utah,Austria,16.36,48.21,2016,1,9
Joel Embiid,PHI,Kansas,Cameroon,9.78,4.06,2014,1,3
Luc Mbah a Moute,LAC,UCLA,Cameroon,9.78,4.06,2008,2,37
Pascal Siakam,TOR,New Mexico State,Cameroon,9.78,4.06,2016,1,27
Jonas Jerebko,GSW,None,Sweden,18.06,59.33,2009,2,39
Josh Okogie,MIN,Georgia Tech,Nigeria,7.49,9.072,2018,1,20
Lauri Markkanen,CHI,Arizona,Finland,26,64,2017,1,7
Luol Deng,MIN,Duke,United Kingdom,-1.080,53.95,2004,1,7
OG Anunoby,TOR,Indiana,United Kingdom,-1.080,53.95,2017,1,23
Marcin Gortat,LAC,None,Poland,21.017,52.237,2005,2,57
Nikola Mirotic,MIL,None,Montenegro,19.26,42.44,2011,1,23
Nikola Vucevic,ORL,Southern California,Montenegro,19.26,42.44,2011,1,16
Omri Casspi,MEM,None,Israel,35.21,31.77,2009,1,23
Salah Mejri,DAL,None,Tunisia,10.18,36.80,Undrafted,Undrafted,Undrafted
Serge Ibaka,TOR,None,Republic of the Congo,15.82,-0.228,2008,1,24
Skal Labissiere,POR,Kentucky,Haiti,-72.333,18.53,2016,1,28
Steven Adams,OKC,Pittsburgh,New Zealand,174.77,-41.27,2013,1,12
Tomas Satoransky,WAS,None,Czech Republic,14.418,50.0,2012,2,32
Yuta Watanabe,MEM,George Washington,Japan,139.83,35.65,Undrafted,Undrafted,Undrafted
Zaza Pachulia,DET,None,Georgia,44.78,41.71,2003,2,42
Zhou Qi,HOU,None,China,116.38,39.916,2016,2,43
