PLAYER,TEAM,COLLEGE,COUNTRY,lon,lat,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER
John Amaechi,ORL,Penn State,United Kingdom,-1.080,53.95,Undrafted,Undrafted,Undrafted
Lazaro Borrell,SEA,None,Cuba,-82.36,23.11,Undrafted,Undrafted,Undrafted
Milt Palacio,VAN,Colorado State,Belize,-87.94328,18.00,Undrafted,Undrafted,Undrafted
Aleksandar Radojevic,TOR,None,Bosnia and Herzegovina,18.41,43.856,1999,1,12
Obinna Ekezie,VAN,Maryland,Nigeria,7.49,9.072,1999,2,37
Michael Olowokandi,LAC,Pacific,Nigeria,7.49,9.072,1998,1,1
Hakeem Olajuwon,HOU,Houston,Nigeria,7.49,9.072,1984,1,1
Todd MacCulloch,PHI,Washington,Canada,-102.46,52.32,1999,2,47
Steve Nash,DAL,Santa Clara,Canada,-102.46,52.32,1996,1,15
Rick Fox,LAL,North Carolina,Canada,-102.46,52.32,1991,1,24
Bruno Sundov,DAL,None,Croatia,15.96,45.815,1998,2,35
Zan Tabak,IND,None,Croatia,15.96,45.815,1991,2,51
Toni Kukoc,PHI,None,Croatia,15.96,45.815,1990,2,29
Dirk Nowitzki,DAL,None,Germany,11.43,48.77,1998,1,9
Felipe Lopez,VAN,St. John's,Dominican Republic,-69.92,18.48,1998,1,24
Mirsad Turkcan,MIL,None,Turkey,28.97,41.01,1998,1,18
Rasho Nesterovic,MIN,None,Slovenia,14.50,46.05,1998,1,17
Sean Marks,TOR,California,New Zealand,174.77,-41.27,1998,2,44
Vladimir Stepania,SEA,None,Georgia,44.78,41.71,1998,1,27
Adonal Foyle,GSW,Colgate,St. Vincent & Grenadines,-61.22,13.01,1997,1,8
Chris Anstey,CHI,None,Australia,150.91,-31.083,1997,1,18
Tariq Abdul-Wahad,DEN,San Jose State,France,2.29,48.85,1997,1,11
Tim Duncan,SAS,Wake Forest,US Virgin Islands,-83.82,34.29,1997,1,1
Peja Stojakovic,SAC,None,Serbia,20.45,44.78,1996,1,14
Vlade Divac,SAC,None,Serbia,20.45,44.78,1989,1,26
Vitaly Potapenko,BOS,Wright State,Ukraine,37.80,48.00,1996,1,12
Gheorghe Muresan,NJN,None,Romania,26.09,44.439,1993,2,30
Dikembe Mutombo,ATL,Georgetown,Congo,15.30,-4.32,1991,1,4
Arvydas Sabonis,POR,None,Lithuania,25.27,54.68,1986,1,24
Patrick Ewing,NYK,Georgetown,Jamaica,-77.8,18.47,1985,1,1
