PLAYER,TEAM,COLLEGE,COUNTRY,lon,lat,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER
Antoine Rigaudeau,DAL,None,France,2.29,48.85,Undrafted,Undrafted,Undrafted
Tony Parker,SAS,None,France,2.29,48.85,2001,1,28
Jerome Moiso,NOH,UCLA,France,2.29,48.85,2000,1,11
Tariq Abdul-Wahad,DAL,San Jose State,France,2.29,48.85,1997,1,11
Carlos Arroyo,UTA,Florida International,Puerto Rico,-66.664,18.200,Undrafted,Undrafted,Undrafted
Cezary Trybanski,MEM,None,Poland,21.017,52.237,Undrafted,Undrafted,Undrafted
John Amaechi,UTA,Penn State,United Kingdom,-1.080,53.95,Undrafted,Undrafted,Undrafted
Mengke Bateer,SAS,None,China,116.38,39.916,Undrafted,Undrafted,Undrafted
Yao Ming,HOU,None,China,116.38,39.916,2002,1,1
Wang Zhi-zhi,LAC,None,China,116.38,39.916,1999,2,36
Milt Palacio,CLE,Colorado State,Belize,-87.94328,18.00,Undrafted,Undrafted,Undrafted
Oscar Torres,GSW,None,Venezuela,-66.9,10.50,Undrafted,Undrafted,Undrafted
Pat Burke,ORL,Auburn,Ireland,-6.26,53.35,Undrafted,Undrafted,Undrafted
Pepe Sanchez,DET,Temple,Argentina,-58.38,-34.6,Undrafted,Undrafted,Undrafted
Ruben Wolkowyski,BOS,None,Argentina,-58.38,-34.6,Undrafted,Undrafted,Undrafted
Manu Ginobili,SAS,None,Argentina,-58.38,-34.6,1999,2,57
Predrag Savovic,DEN,Hawaii,Serbia,20.45,44.78,Undrafted,Undrafted,Undrafted
Vladimir Radmanovic,SEA,None,Serbia,20.45,44.78,2001,1,12
Igor Rakocevic,MIN,None,Serbia,20.45,44.78,2000,2,51
Marko Jaric,LAC,None,Serbia,20.45,44.78,2000,2,30
Predrag Drobnjak,SEA,None,Serbia,20.45,44.78,1997,2,48
Peja Stojakovic,SAC,None,Serbia,20.45,44.78,1996,1,14
Zeljko Rebraca,DET,None,Serbia,20.45,44.78,1994,2,54
Vlade Divac,SAC,None,Serbia,20.45,44.78,1989,1,26
Raja Bell,DAL,Florida International,US Virgin Islands,-83.82,34.29,Undrafted,Undrafted,Undrafted
Tim Duncan,SAS,Wake Forest,US Virgin Islands,-83.82,34.29,1997,1,1
Slava Medvedenko,LAL,None,Ukraine,37.80,48.00,Undrafted,Undrafted,Undrafted
Vitaly Potapenko,SEA,Wright State,Ukraine,37.80,48.00,1996,1,12
Bostjan Nachbar,HOU,None,Slovenia,14.50,46.05,2002,1,15
Primoz Brezec,IND,None,Slovenia,14.50,46.05,2000,1,27
Rasho Nesterovic,MIN,None,Slovenia,14.50,46.05,1998,1,17
Dan Gadzuric,MIL,UCLA,Netherlands,4.89,52.37,2002,2,33
Jiri Welsch,GSW,None,Czech Republic,14.418,50.0,2002,1,16
Nene,DEN,None,Brazil,-46.625,-23.533,2002,1,7
Nikoloz Tskitishvili,DEN,None,Georgia,44.78,41.71,2002,1,5
Vladimir Stepania,MIA,None,Georgia,44.78,41.71,1998,1,27
Robert Archibald,MEM,Illinois,Scotland,-3.18,55.953,2002,2,31
DeSagana Diop,CLE,None,Senegal,-17.4676,14.7166,2001,1,8
Mamadou N'diaye,TOR,Auburn,Senegal,-17.4676,14.7166,2000,1,26
Mehmet Okur,DET,None,Turkey,28.97,41.01,2001,2,37
Hedo Turkoglu,SAC,None,Turkey,28.97,41.01,2000,1,16
Pau Gasol,MEM,None,Spain,-3.70,40.416,2001,1,3
Dalibor Bagaric,CHI,None,Croatia,15.96,45.815,2000,1,24
Gordan Giricek,ORL,None,Croatia,15.96,45.815,1999,2,40
Bruno Sundov,BOS,None,Croatia,15.96,45.815,1998,2,35
Toni Kukoc,MIL,None,Croatia,15.96,45.815,1990,2,29
Eduardo Najera,DAL,Oklahoma,Mexico,-99.1332,19.432,2000,2,38
Jake Tsakalidis,PHX,None,Greece,23.72,37.98,2000,1,25
Efthimios Rentzias,PHI,None,Greece,23.72,37.98,1996,1,23
Jamaal Magloire,NOH,Kentucky,Canada,-102.46,52.32,2000,1,19
Todd MacCulloch,PHI,Washington,Canada,-102.46,52.32,1999,2,47
Steve Nash,DAL,Santa Clara,Canada,-102.46,52.32,1996,1,15
Rick Fox,LAL,North Carolina,Canada,-102.46,52.32,1991,1,24
Olumide Oyedeji,ORL,None,Nigeria,7.49,9.072,2000,2,42
Michael Olowokandi,LAC,Pacific,Nigeria,7.49,9.072,1998,1,1
Soumaila Samake,LAL,None,Mali,-3.99,17.57,2000,2,36
Andrei Kirilenko,UTA,None,Russia,55.75,37.61,1999,1,24
Dirk Nowitzki,DAL,None,Germany,11.43,48.77,1998,1,9
Sean Marks,MIA,California,New Zealand,174.77,-41.27,1998,2,44
Adonal Foyle,GSW,Colgate,St. Vincent & Grenadines,-61.22,13.01,1997,1,8
Zydrunas Ilgauskas,CLE,None,Lithuania,25.27,54.68,1996,1,20
Arvydas Sabonis,POR,None,Lithuania,25.27,54.68,1986,1,24
Dikembe Mutombo,NJN,Georgetown,Congo,15.30,-4.32,1991,1,4
