PLAYER,TEAM,COLLEGE,COUNTRY,lon,lat,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER
Abdel Nader,PHX,Iowa State,Egypt,31.23,30.03,2016,2,58
Adam Mokoka,CHI,None,France,2.29,48.85,Undrafted,Undrafted,Undrafted
Axel Toupane,MIL,None,France,2.29,48.85,Undrafted,Undrafted,Undrafted
Evan Fournier,BOS,None,France,2.29,48.85,2012,1,20
Frank Ntilikina,NYK,None,France,2.29,48.85,2017,1,8
Jaylen Hoard,OKC,Wake Forest,France,2.29,48.85,Undrafted,Undrafted,Undrafted
Killian Hayes,DET,None,France,2.29,48.85,2020,1,7
Killian Tillie,MEM,Gonzaga,France,2.29,48.85,Undrafted,Undrafted,Undrafted
Nicolas Batum,LAC,None,France,2.29,48.85,2008,1,25
Rudy Gobert,UTA,None,France,2.29,48.85,2013,1,27
Sekou Doumbouya,DET,None,France,2.29,48.85,2019,1,15
Theo Maledon,OKC,None,France,2.29,48.85,2020,2,34
Timothe Luwawu-Cabarrot,BKN,None,France,2.29,48.85,2016,1,24
Vincent Poirier,PHI,None,France,2.29,48.85,Undrafted,Undrafted,Undrafted
Al Horford,BOS,Florida,Dominican Republic,-69.92,18.48,2007,1,3
Aleksej Pokusevski,OKC,None,Serbia,20.45,44.78,2020,1,17
Alen Smailagic,GSW,None,Serbia,20.45,44.78,2019,2,39
Boban Marjanovic,DAL,None,Serbia,20.45,44.78,Undrafted,Undrafted,Undrafted
Bogdan Bogdanovic,ATL,None,Serbia,20.45,44.78,2014,1,27
Nemanja Bjelica,MIA,None,Serbia,20.45,44.78,2010,2,35
Nikola Jokic,DEN,None,Serbia,20.45,44.78,2014,2,41
Alex Len,WAS,Maryland,Ukraine,37.80,48.00,2013,1,5
Svi Mykhailiuk,OKC,Kansas,Ukraine,37.80,48.00,2018,2,47
Anderson Varejao,CLE,None,Brazil,-46.625,-23.533,2004,2,30
Bruno Caboclo,HOU,None,Brazil,-46.625,-23.533,2014,1,20
Cristiano Felicio,CHI,None,Brazil,-46.625,-23.533,Undrafted,Undrafted,Undrafted
Didi Louzada,NOP,None,Brazil,-46.625,-23.533,2019,2,35
Raul Neto,WAS,None,Brazil,-46.625,-23.533,2013,2,47
Andrew Wiggins,GSW,Kansas,Canada,-102.46,52.32,2014,1,1
Brandon Clarke,MEM,Gonzaga,Canada,-102.46,52.32,2019,1,21
Cory Joseph,DET,Texas-Austin,Canada,-102.46,52.32,2011,1,29
Dillon Brooks,MEM,Oregon,Canada,-102.46,52.32,2017,2,45
Dwight Powell,DAL,Stanford,Canada,-102.46,52.32,2014,2,45
Ignas Brazdeikis,ORL,Michigan,Canada,-102.46,52.32,2019,2,47
Jamal Murray,DEN,Kentucky,Canada,-102.46,52.32,2016,1,7
Kelly Olynyk,HOU,Gonzaga,Canada,-102.46,52.32,2013,1,13
Khem Birch,TOR,UNLV,Canada,-102.46,52.32,Undrafted,Undrafted,Undrafted
Luguentz Dort,OKC,Arizona State,Canada,-102.46,52.32,Undrafted,Undrafted,Undrafted
Mfiondu Kabengele,CLE,Florida State,Canada,-102.46,52.32,2019,1,27
Mychal Mulder,GSW,Kentucky,Canada,-102.46,52.32,Undrafted,Undrafted,Undrafted
Nate Darling,CHA,Delaware,Canada,-102.46,52.32,Undrafted,Undrafted,Undrafted
Nickeil Alexander-Walker,NOP,Virginia Tech,Canada,-102.46,52.32,2019,1,17
Oshae Brissett,IND,Syracuse,Canada,-102.46,52.32,Undrafted,Undrafted,Undrafted
RJ Barrett,NYK,Duke,Canada,-102.46,52.32,2019,1,3
Shai Gilgeous-Alexander,OKC,Kentucky,Canada,-102.46,52.32,2018,1,11
Trey Lyles,SAS,Kentucky,Canada,-102.46,52.32,2015,1,12
Tristan Thompson,BOS,Texas-Austin,Canada,-102.46,52.32,2011,1,4
Anzejs Pasecniks,WAS,None,Latvia,24.10,56.946,2017,1,25
Davis Bertans,WAS,None,Latvia,24.10,56.946,2011,2,42
Kristaps Porzingis,DAL,None,Latvia,24.10,56.946,2015,1,4
Rodions Kurucs,MIL,None,Latvia,24.10,56.946,2018,2,40
Aron Baynes,TOR,Washington State,Australia,150.91,-31.083,Undrafted,Undrafted,Undrafted
Ben Simmons,PHI,Louisiana State,Australia,150.91,-31.083,2016,1,1
Dante Exum,HOU,None,Australia,150.91,-31.083,2014,1,5
Joe Ingles,UTA,None,Australia,150.91,-31.083,Undrafted,Undrafted,Undrafted
Josh Green,DAL,Arizona,Australia,150.91,-31.083,2020,1,18
Kyrie Irving,BKN,Duke,Australia,150.91,-31.083,2011,1,1
Matthew Dellavedova,CLE,St.Mary's College of California,Australia,150.91,-31.083,Undrafted,Undrafted,Undrafted
Patty Mills,SAS,St.Mary's College of California,Australia,150.91,-31.083,2009,2,55
Will Magnay,NOP,None,Australia,150.91,-31.083,Undrafted,Undrafted,Undrafted
Bismack Biyombo,CHA,None,DRC,15.82,-0.228,2011,1,7
Bojan Bogdanovic,UTA,None,Croatia,15.96,45.815,2011,2,31
Dario Saric,PHX,None,Croatia,15.96,45.815,2014,1,12
Ivica Zubac,LAC,None,Croatia,15.96,45.815,2016,2,32
Luka Samanic,SAS,None,Croatia,15.96,45.815,2019,1,19
Bol Bol,DEN,Oregon,Sudan,32.5,15.50,2019,2,44
Bruno Fernando,ATL,Maryland,Angola,13.234,-8.83,2019,2,34
Buddy Hield,SAC,Oklahoma,Bahamas,-77.34,25.05,2016,1,6
Deandre Ayton,PHX,Arizona,Bahamas,-77.34,25.05,2018,1,1
Cedi Osman,CLE,None,Turkey,28.97,41.01,2015,2,31
Enes Freedom,POR,None,Turkey,28.97,41.01,2011,1,3
Ersan Ilyasova,UTA,None,Turkey,28.97,41.01,2005,2,36
Furkan Korkmaz,PHI,None,Turkey,28.97,41.01,2016,1,26
Chris Boucher,TOR,Oregon,Saint Lucia,-60.97,13.90,Undrafted,Undrafted,Undrafted
Chris Silva,SAC,South Carolina,Gabon,9.45,0.39,Undrafted,Undrafted,Undrafted
Clint Capela,ATL,None,Switzerland,6.14,46.204,2014,1,25
Daniel Theis,CHI,None,Germany,11.43,48.77,Undrafted,Undrafted,Undrafted
Dennis Schroder,LAL,None,Germany,11.43,48.77,2013,1,17
Isaac Bonga,WAS,None,Germany,11.43,48.77,2018,2,39
Isaiah Hartenstein,CLE,None,Germany,11.43,48.77,2017,2,43
Maxi Kleber,DAL,None,Germany,11.43,48.77,Undrafted,Undrafted,Undrafted
Moritz Wagner,ORL,Michigan,Germany,11.43,48.77,2018,1,25
Danilo Gallinari,ATL,None,Italy,12.496,41.90,2008,1,6
Nico Mannion,GSW,Arizona,Italy,12.496,41.90,2020,2,48
Nicolo Melli,DAL,None,Italy,12.496,41.90,Undrafted,Undrafted,Undrafted
Deividas Sirvydis,DET,None,Lithuania,25.27,54.68,2019,2,37
Domantas Sabonis,IND,Gonzaga,Lithuania,25.27,54.68,2016,1,11
Jonas Valanciunas,MEM,None,Lithuania,25.27,54.68,2011,1,5
Deni Avdija,WAS,None,Israel,35.21,31.77,2020,1,9
Facundo Campazzo,DEN,None,Argentina,-58.38,-34.6,Undrafted,Undrafted,Undrafted
Gabriel Deck,OKC,None,Argentina,-58.38,-34.6,Undrafted,Undrafted,Undrafted
Giannis Antetokounmpo,MIL,None,Greece,23.72,37.98,2013,1,15
Kostas Antetokounmpo,LAL,Dayton,Greece,23.72,37.98,2018,2,60
Thanasis Antetokounmpo,MIL,None,Greece,23.72,37.98,2014,2,51
Goga Bitadze,IND,None,Georgia,44.78,41.71,2019,1,18
Goran Dragic,MIA,None,Slovenia,14.50,46.05,2008,2,45
Luka Doncic,DAL,None,Slovenia,14.50,46.05,2018,1,3
Vlatko Cancar,DEN,None,Slovenia,14.50,46.05,2017,2,49
Gorgui Dieng,SAS,Louisville,Senegal,-17.4676,14.7166,2013,1,21
Karim Mane,ORL,Vanier,Senegal,-17.4676,14.7166,Undrafted,Undrafted,Undrafted
Tacko Fall,BOS,Central Florida,Senegal,-17.4676,14.7166,Undrafted,Undrafted,Undrafted
Jakob Poeltl,SAS,Utah,Austria,16.36,48.21,2016,1,9
