PLAYER,TEAM,COLLEGE,COUNTRY,lon,lat,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER
Al Horford,ATL,Florida,Dominican Republic,-69.92,18.48,2007,1,3
Luis Montero,POR,Westchester C.C.,Dominican Republic,-69.92,18.48,Undrafted,Undrafted,Undrafted
Alex Len,PHX,Maryland,Ukraine,37.80,48.00,2013,1,5
Alexis Ajinca,NOP,None,France,2.29,48.85,2008,1,20
Axel Toupane,DEN,None,France,2.29,48.85,Undrafted,Undrafted,Undrafted
Boris Diaw,SAS,None,France,2.29,48.85,2003,1,21
Damien Inglis,MIL,None,France,2.29,48.85,2014,2,31
Evan Fournier,ORL,None,France,2.29,48.85,2012,1,20
Ian Mahinmi,IND,None,France,2.29,48.85,2005,1,28
Joffrey Lauvergne,DEN,None,France,2.29,48.85,2013,2,55
Kevin Seraphin,NYK,None,France,2.29,48.85,2010,1,17
Nicolas Batum,CHA,None,France,2.29,48.85,2008,1,25
Rudy Gobert,UTA,None,France,2.29,48.85,2013,1,27
Tony Parker,SAS,None,France,2.29,48.85,2001,1,28
Anderson Varejao,GSW,None,Brazil,-46.625,-23.533,2004,2,30
Bruno Caboclo,TOR,None,Brazil,-46.625,-23.533,2014,1,20
Cristiano Felicio,CHI,None,Brazil,-46.625,-23.533,Undrafted,Undrafted,Undrafted
Leandro Barbosa,GSW,None,Brazil,-46.625,-23.533,2003,1,28
Lucas Nogueira,TOR,None,Brazil,-46.625,-23.533,2013,1,16
Marcelo Huertas,LAL,None,Brazil,-46.625,-23.533,Undrafted,Undrafted,Undrafted
Nene,WAS,None,Brazil,-46.625,-23.533,2002,1,7
Raul Neto,UTA,None,Brazil,-46.625,-23.533,2013,2,47
Tiago Splitter,ATL,None,Brazil,-46.625,-23.533,2007,1,28
Andrea Bargnani,BKN,None,Italy,12.496,41.90,2006,1,1
Danilo Gallinari,DEN,None,Italy,12.496,41.90,2008,1,6
Marco Belinelli,SAC,None,Italy,12.496,41.90,2007,1,18
Andrew Bogut,GSW,Utah,Australia,150.91,-31.083,2005,1,1
Aron Baynes,DET,Washington State,Australia,150.91,-31.083,Undrafted,Undrafted,Undrafted
Cameron Bairstow,DET,New Mexico,Australia,150.91,-31.083,2014,2,49
Joe Ingles,UTA,None,Australia,150.91,-31.083,Undrafted,Undrafted,Undrafted
Kyrie Irving,CLE,Duke,Australia,150.91,-31.083,2011,1,1
Matthew Dellavedova,CLE,St.Mary's College of California,Australia,150.91,-31.083,Undrafted,Undrafted,Undrafted
Patty Mills,SAS,St.Mary's College of California,Australia,150.91,-31.083,2009,2,55
Andrew Nicholson,ORL,St. Bonaventure,Canada,-102.46,52.32,2012,1,19
Andrew Wiggins,MIN,Kansas,Canada,-102.46,52.32,2014,1,1
Anthony Bennett,TOR,UNLV,Canada,-102.46,52.32,2013,1,1
Cory Joseph,TOR,Texas-Austin,Canada,-102.46,52.32,2011,1,29
Dwight Powell,DAL,Stanford,Canada,-102.46,52.32,2014,2,45
Joel Anthony,DET,UNLV,Canada,-102.46,52.32,Undrafted,Undrafted,Undrafted
Kelly Olynyk,BOS,Gonzaga,Canada,-102.46,52.32,2013,1,13
Nik Stauskas,PHI,Michigan,Canada,-102.46,52.32,2014,1,8
Robert Sacre,LAL,Gonzaga,Canada,-102.46,52.32,2012,2,60
Trey Lyles,UTA,Kentucky,Canada,-102.46,52.32,2015,1,12
Tristan Thompson,CLE,Texas-Austin,Canada,-102.46,52.32,2011,1,4
Tyler Ennis,MIL,Syracuse,Canada,-102.46,52.32,2014,1,18
Beno Udrih,MEM,None,Slovenia,14.50,46.05,2004,1,28
Goran Dragic,MIA,None,Slovenia,14.50,46.05,2008,2,45
Sasha Vujacic,NYK,None,Slovenia,14.50,46.05,2004,1,27
Bismack Biyombo,TOR,None,DRC,15.82,-0.228,2011,1,7
Emmanuel Mudiay,DEN,None,DRC,15.82,-0.228,2015,1,7
Boban Marjanovic,SAS,None,Serbia,20.45,44.78,Undrafted,Undrafted,Undrafted
Nemanja Bjelica,MIN,None,Serbia,20.45,44.78,2010,2,35
Nikola Jokic,DEN,None,Serbia,20.45,44.78,2014,2,41
Bojan Bogdanovic,BKN,None,Croatia,15.96,45.815,2011,2,31
Damjan Rudez,MIN,None,Croatia,15.96,45.815,Undrafted,Undrafted,Undrafted
Duje Dukan,SAC,Wisconsin,Croatia,15.96,45.815,Undrafted,Undrafted,Undrafted
Mario Hezonja,ORL,None,Croatia,15.96,45.815,2015,1,5
Clint Capela,HOU,None,Switzerland,6.14,46.204,2014,1,25
Thabo Sefolosha,ATL,None,Switzerland,6.14,46.204,2006,1,13
Dennis Schroder,ATL,None,Germany,11.43,48.77,2013,1,17
Dirk Nowitzki,DAL,None,Germany,11.43,48.77,1998,1,9
Tibor Pleiss,UTA,None,Germany,11.43,48.77,2010,2,31
Donatas Motiejunas,HOU,None,Lithuania,25.27,54.68,2011,1,20
Jonas Valanciunas,TOR,None,Lithuania,25.27,54.68,2011,1,5
Edy Tavares,ATL,None,Cabo Verde,-22.80,16.09,2014,2,43
Enes Freedom,OKC,None,Turkey,28.97,41.01,2011,1,3
Ersan Ilyasova,ORL,None,Turkey,28.97,41.01,2005,2,36
Omer Asik,NOP,None,Turkey,28.97,41.01,2008,2,36
Festus Ezeli,GSW,Vanderbilt,Nigeria,7.49,9.072,2012,1,30
Giannis Antetokounmpo,MIL,None,Greece,23.72,37.98,2013,1,15
Kostas Papanikolaou,DEN,None,Greece,23.72,37.98,2012,2,48
Thanasis Antetokounmpo,NYK,None,Greece,23.72,37.98,2014,2,51
Gorgui Dieng,MIN,Louisville,Senegal,-17.4676,14.7166,2013,1,21
Greivis Vasquez,MIL,Maryland,Venezuela,-66.91,10.500,2010,1,28
J.J. Barea,DAL,Northeastern,Puerto Rico,-66.664,18.200,Undrafted,Undrafted,Undrafted
Jonas Jerebko,BOS,None,Sweden,18.06,59.33,2009,2,39
Jorge Gutierrez,CHA,California,Mexico,-99.1332,19.432,Undrafted,Undrafted,Undrafted
Jose Calderon,NYK,None,Spain,-3.70,40.416,Undrafted,Undrafted,Undrafted
Marc Gasol,MEM,None,Spain,-3.70,40.416,2007,2,48
Pau Gasol,CHI,None,Spain,-3.70,40.416,2001,1,3
Ricky Rubio,MIN,None,Spain,-3.70,40.416,2009,1,5
Jusuf Nurkic,DEN,None,Bosnia and Herzegovina,18.41,43.856,2014,1,16
Mirza Teletovic,PHX,None,Bosnia and Herzegovina,18.41,43.856,Undrafted,Undrafted,Undrafted
Kristaps Porzingis,NYK,None,Latvia,24.10,56.946,2015,1,4
Luc Mbah a Moute,LAC,UCLA,Cameroon,9.78,4.06,2008,2,37
Luis Scola,TOR,None,Argentina,-58.38,-34.6,2002,2,55
Manu Ginobili,SAS,None,Argentina,-58.38,-34.6,1999,2,57
Pablo Prigioni,LAC,None,Argentina,-58.38,-34.6,Undrafted,Undrafted,Undrafted
Luol Deng,MIA,Duke,United Kingdom,-1.080,53.95,2004,1,7
Marcin Gortat,WAS,None,Poland,21.017,52.237,2005,2,57
Nikola Mirotic,CHI,None,Montenegro,19.26,42.44,2011,1,23
Nikola Pekovic,MIN,None,Montenegro,19.26,42.44,2008,2,31
Nikola Vucevic,ORL,Southern California,Montenegro,19.26,42.44,2011,1,16
Omri Casspi,SAC,None,Israel,35.21,31.77,2009,1,23
Salah Mejri,DAL,None,Tunisia,10.18,36.80,Undrafted,Undrafted,Undrafted
Sasha Kaun,CLE,Kansas,Russia,55.75,37.61,2008,2,56
Sergey Karasev,BKN,None,Russia,55.75,37.61,2013,1,19
Timofey Mozgov,CLE,None,Russia,55.75,37.61,Undrafted,Undrafted,Undrafted
Serge Ibaka,OKC,None,Republic of the Congo,15.82,-0.228,2008,1,24
Steven Adams,OKC,Pittsburgh,New Zealand,174.77,-41.27,2013,1,12
Tim Duncan,SAS,Wake Forest,US Virgin Islands,-83.82,34.29,1997,1,1
Zaza Pachulia,DAL,None,Georgia,44.78,41.71,2003,2,42
