PLAYER,TEAM,COLLEGE,COUNTRY,lon,lat,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER
Al Horford,ATL,Florida,Dominican Republic,-69.92,18.48,2007,1,3
Francisco Garcia,HOU,Louisville,Dominican Republic,-69.92,18.48,2005,1,23
Alex Len,PHX,Maryland,Ukraine,37.80,48.00,2013,1,5
Viacheslav Kravtsov,PHX,None,Ukraine,37.80,48.00,Undrafted,Undrafted,Undrafted
Alexey Shved,MIN,None,Russia,55.75,37.61,Undrafted,Undrafted,Undrafted
Andrei Kirilenko,BKN,None,Russia,55.75,37.61,1999,1,24
Sergey Karasev,CLE,None,Russia,55.75,37.61,2013,1,19
Timofey Mozgov,DEN,None,Russia,55.75,37.61,Undrafted,Undrafted,Undrafted
Alexis Ajinca,NOP,None,France,2.29,48.85,2008,1,20
Boris Diaw,SAS,None,France,2.29,48.85,2003,1,21
Evan Fournier,DEN,None,France,2.29,48.85,2012,1,20
Ian Mahinmi,IND,None,France,2.29,48.85,2005,1,28
Kevin Seraphin,WAS,None,France,2.29,48.85,2010,1,17
Nando De Colo,TOR,None,France,2.29,48.85,2009,2,53
Nicolas Batum,POR,None,France,2.29,48.85,2008,1,25
Ronny Turiaf,MIN,Gonzaga,France,2.29,48.85,2005,2,37
Rudy Gobert,UTA,None,France,2.29,48.85,2013,1,27
Tony Parker,SAS,None,France,2.29,48.85,2001,1,28
Anderson Varejao,CLE,None,Brazil,-46.625,-23.533,2004,2,30
Leandro Barbosa,PHX,None,Brazil,-46.625,-23.533,2003,1,28
Nene,WAS,None,Brazil,-46.625,-23.533,2002,1,7
Tiago Splitter,SAS,None,Brazil,-46.625,-23.533,2007,1,28
Vitor Faverani,BOS,None,Brazil,-46.625,-23.533,Undrafted,Undrafted,Undrafted
Andrea Bargnani,NYK,None,Italy,12.496,41.90,2006,1,1
Gigi Datome,DET,None,Italy,12.496,41.90,Undrafted,Undrafted,Undrafted
Marco Belinelli,SAS,None,Italy,12.496,41.90,2007,1,18
Andrew Bogut,GSW,Utah,Australia,150.91,-31.083,2005,1,1
Aron Baynes,SAS,Washington State,Australia,150.91,-31.083,Undrafted,Undrafted,Undrafted
Kyrie Irving,CLE,Duke,Australia,150.91,-31.083,2011,1,1
Matthew Dellavedova,CLE,St.Mary's College of California,Australia,150.91,-31.083,Undrafted,Undrafted,Undrafted
Patty Mills,SAS,St.Mary's College of California,Australia,150.91,-31.083,2009,2,55
Andrew Nicholson,ORL,St. Bonaventure,Canada,-102.46,52.32,2012,1,19
Anthony Bennett,CLE,UNLV,Canada,-102.46,52.32,2013,1,1
Cory Joseph,SAS,Texas-Austin,Canada,-102.46,52.32,2011,1,29
Joel Anthony,BOS,UNLV,Canada,-102.46,52.32,Undrafted,Undrafted,Undrafted
Kelly Olynyk,BOS,Gonzaga,Canada,-102.46,52.32,2013,1,13
Robert Sacre,LAL,Gonzaga,Canada,-102.46,52.32,2012,2,60
Steve Nash,LAL,Santa Clara,Canada,-102.46,52.32,1996,1,15
Tristan Thompson,CLE,Texas-Austin,Canada,-102.46,52.32,2011,1,4
Andris Biedrins,UTA,None,Latvia,24.10,56.946,2004,1,11
Beno Udrih,MEM,None,Slovenia,14.50,46.05,2004,1,28
Goran Dragic,PHX,None,Slovenia,14.50,46.05,2008,2,45
Sasha Vujacic,LAC,None,Slovenia,14.50,46.05,2004,1,27
Bismack Biyombo,CHA,None,DRC,15.82,-0.228,2011,1,7
Dennis Schroder,ATL,None,Germany,11.43,48.77,2013,1,17
Dirk Nowitzki,DAL,None,Germany,11.43,48.77,1998,1,9
Elias Harris,LAL,Gonzaga,Germany,11.43,48.77,Undrafted,Undrafted,Undrafted
Donatas Motiejunas,HOU,None,Lithuania,25.27,54.68,2011,1,20
Jonas Valanciunas,TOR,None,Lithuania,25.27,54.68,2011,1,5
