PLAYER,TEAM,COLLEGE,COUNTRY,lon,lat,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER
Andres Nocioni,SAC,None,Argentina,-58.38,-34.6,Undrafted,Undrafted,Undrafted
Fabricio Oberto,WAS,None,Argentina,-58.38,-34.6,Undrafted,Undrafted,Undrafted
Carlos Delfino,MIL,None,Argentina,-58.38,-34.6,2003,1,25
Luis Scola,HOU,None,Argentina,-58.38,-34.6,2002,2,55
Manu Ginobili,SAS,None,Argentina,-58.38,-34.6,1999,2,57
Carlos Arroyo,MIA,Florida International,Puerto Rico,-66.664,18.200,Undrafted,Undrafted,Undrafted
J.J. Barea,DAL,Northeastern,Puerto Rico,-66.664,18.200,Undrafted,Undrafted,Undrafted
DJ Mbenga,LAL,None,Belgium,4.402,51.26,Undrafted,Undrafted,Undrafted
Hamed Haddadi,MEM,None,Iran,51.4,35.71,Undrafted,Undrafted,Undrafted
Joel Anthony,MIA,UNLV,Canada,-102.46,52.32,Undrafted,Undrafted,Undrafted
Jamaal Magloire,MIA,Kentucky,Canada,-102.46,52.32,2000,1,19
Steve Nash,PHX,Santa Clara,Canada,-102.46,52.32,1996,1,15
Jose Calderon,TOR,None,Spain,-3.70,40.416,Undrafted,Undrafted,Undrafted
Marc Gasol,MEM,None,Spain,-3.70,40.416,2007,2,48
Rudy Fernandez,POR,None,Spain,-3.70,40.416,2007,1,24
Sergio Rodriguez,NYK,None,Spain,-3.70,40.416,2006,1,27
Pau Gasol,LAL,None,Spain,-3.70,40.416,2001,1,3
Kelenna Azubuike,GSW,Kentucky,United Kingdom,-1.080,53.95,Undrafted,Undrafted,Undrafted
Luol Deng,CHI,Duke,United Kingdom,-1.080,53.95,2004,1,7
Raja Bell,GSW,Florida International,US Virgin Islands,-83.82,34.29,Undrafted,Undrafted,Undrafted
Tim Duncan,SAS,Wake Forest,US Virgin Islands,-83.82,34.29,1997,1,1
Hasheem Thabeet,MEM,Connecticut,Tanzania,39.1,-6.77,2009,1,2
Jonas Jerebko,DET,None,Sweden,18.06,59.33,2009,2,39
Omri Casspi,SAC,None,Israel,35.21,31.77,2009,1,23
Patty Mills,POR,St.Mary's College of California,Australia,150.91,-31.083,2009,2,55
Nathan Jawai,MIN,Midland (Texas),Australia,150.91,-31.083,2008,2,41
Andrew Bogut,MIL,Utah,Australia,150.91,-31.083,2005,1,1
David Andersen,HOU,None,Australia,150.91,-31.083,2002,2,36
Rodrigue Beaubois,DAL,None,France,2.29,48.85,2009,1,25
Alexis Ajinca,CHA,None,France,2.29,48.85,2008,1,20
Nicolas Batum,POR,None,France,2.29,48.85,2008,1,25
Ian Mahinmi,SAS,None,France,2.29,48.85,2005,1,28
Johan Petro,DEN,None,France,2.29,48.85,2005,1,25
Ronny Turiaf,GSW,Gonzaga,France,2.29,48.85,2005,2,37
Boris Diaw,CHA,None,France,2.29,48.85,2003,1,21
Mickael Pietrus,ORL,None,France,2.29,48.85,2003,1,11
Tony Parker,SAS,None,France,2.29,48.85,2001,1,28
Danilo Gallinari,NYK,None,Italy,12.496,41.90,2008,1,6
Marco Belinelli,TOR,None,Italy,12.496,41.90,2007,1,18
Andrea Bargnani,TOR,None,Italy,12.496,41.90,2006,1,1
Goran Dragic,PHX,None,Slovenia,14.50,46.05,2008,2,45
Beno Udrih,SAC,None,Slovenia,14.50,46.05,2004,1,28
Sasha Vujacic,LAL,None,Slovenia,14.50,46.05,2004,1,27
Primoz Brezec,MIL,None,Slovenia,14.50,46.05,2000,1,27
Rasho Nesterovic,TOR,None,Slovenia,14.50,46.05,1998,1,17
Luc Mbah a Moute,MIL,UCLA,Cameroon,9.78,4.06,2008,2,37
Serge Ibaka,OKC,None,Republic of the Congo,15.82,-0.228,2008,1,24
Al Horford,ATL,Florida,Dominican Republic,-69.92,18.48,2007,1,3
Francisco Garcia,SAC,Louisville,Dominican Republic,-69.92,18.48,2005,1,23
Kyrylo Fesenko,UTA,None,Ukraine,37.80,48.00,2007,2,38
Oleksiy Pecherov,MIN,None,Ukraine,37.80,48.00,2006,1,18
Yi Jianlian,NJN,None,China,116.38,39.916,2007,1,6
Thabo Sefolosha,OKC,None,Switzerland,6.14,46.204,2006,1,13
Ersan Ilyasova,MIL,None,Turkey,28.97,41.01,2005,2,36
Mehmet Okur,UTA,None,Turkey,28.97,41.01,2001,2,37
Hedo Turkoglu,TOR,None,Turkey,28.97,41.01,2000,1,16
Marcin Gortat,ORL,None,Poland,21.017,52.237,2005,2,57
Roko Ukic,MIL,None,Croatia,15.96,45.815,2005,2,41
Anderson Varejao,CLE,None,Brazil,-46.625,-23.533,2004,2,30
Leandro Barbosa,PHX,None,Brazil,-46.625,-23.533,2003,1,28
Nene,DEN,None,Brazil,-46.625,-23.533,2002,1,7
Andris Biedrins,GSW,None,Latvia,24.10,56.946,2004,1,11
Darko Milicic,MIN,None,Serbia,20.45,44.78,2003,1,2
Nenad Krstic,OKC,None,Serbia,20.45,44.78,2002,1,24
Vladimir Radmanovic,GSW,None,Serbia,20.45,44.78,2001,1,12
Peja Stojakovic,NOH,None,Serbia,20.45,44.78,1996,1,14
Sasha Pavlovic,MIN,None,Montenegro,19.26,42.44,2003,1,19
Zaza Pachulia,ATL,None,Georgia,44.78,41.71,2003,2,42
Dan Gadzuric,MIL,UCLA,Netherlands,4.89,52.37,2002,2,33
Francisco Elson,PHI,California,Netherlands,4.89,52.37,1999,2,41
Darius Songaila,NOH,Wake Forest,Lithuania,25.27,54.68,2002,2,49
Zydrunas Ilgauskas,CLE,None,Lithuania,25.27,54.68,1996,1,20
DeSagana Diop,CHA,None,Senegal,-17.4676,14.7166,2001,1,8
Samuel Dalembert,PHI,Seton Hall,Haiti,-72.333,18.53,2001,1,26
Eduardo Najera,DAL,Oklahoma,Mexico,-99.1332,19.432,2000,2,38
Andrei Kirilenko,UTA,None,Russia,55.75,37.61,1999,1,24
Dirk Nowitzki,DAL,None,Germany,11.43,48.77,1998,1,9
Sean Marks,NOH,California,New Zealand,174.77,-41.27,1998,2,44
