PLAYER,TEAM,COLLEGE,COUNTRY,lon,lat,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER
Carlos Arroyo,DEN,Florida International,Puerto Rico,-66.664,18.200,Undrafted,Undrafted,Undrafted
Daniel Santiago,PHX,St. Vincent,Puerto Rico,-66.664,18.200,Undrafted,Undrafted,Undrafted
John Amaechi,UTA,Penn State,United Kingdom,-1.080,53.95,Undrafted,Undrafted,Undrafted
Mengke Bateer,DEN,None,China,116.38,39.916,Undrafted,Undrafted,Undrafted
Wang Zhi-zhi,DAL,None,China,116.38,39.916,1999,2,36
Milt Palacio,PHX,Colorado State,Belize,-87.94328,18.00,Undrafted,Undrafted,Undrafted
Oscar Torres,HOU,None,Venezuela,-66.9,10.50,Undrafted,Undrafted,Undrafted
Raja Bell,PHI,Florida International,US Virgin Islands,-83.82,34.29,Undrafted,Undrafted,Undrafted
Tim Duncan,SAS,Wake Forest,US Virgin Islands,-83.82,34.29,1997,1,1
Ratko Varda,DET,None,Bosnia and Herzegovina,18.41,43.856,Undrafted,Undrafted,Undrafted
Slava Medvedenko,LAL,None,Ukraine,37.80,48.00,Undrafted,Undrafted,Undrafted
Vitaly Potapenko,BOS,Wright State,Ukraine,37.80,48.00,1996,1,12
Antonis Fotsis,MEM,None,Greece,23.72,37.98,2001,2,47
Jake Tsakalidis,PHX,None,Greece,23.72,37.98,2000,1,25
DeSagana Diop,CLE,None,Senegal,-17.4676,14.7166,2001,1,8
Mamadou N'diaye,TOR,Auburn,Senegal,-17.4676,14.7166,2000,1,26
Pau Gasol,MEM,None,Spain,-3.70,40.416,2001,1,3
Samuel Dalembert,PHI,Seton Hall,Haiti,-72.333,18.53,2001,1,26
Tony Parker,SAS,None,France,2.29,48.85,2001,1,28
Jerome Moiso,CHH,UCLA,France,2.29,48.85,2000,1,11
Tariq Abdul-Wahad,DAL,San Jose State,France,2.29,48.85,1997,1,11
Vladimir Radmanovic,SEA,None,Serbia,20.45,44.78,2001,1,12
Predrag Drobnjak,SEA,None,Serbia,20.45,44.78,1997,2,48
Peja Stojakovic,SAC,None,Serbia,20.45,44.78,1996,1,14
Zeljko Rebraca,DET,None,Serbia,20.45,44.78,1994,2,54
Vlade Divac,SAC,None,Serbia,20.45,44.78,1989,1,26
Dalibor Bagaric,CHI,None,Croatia,15.96,45.815,2000,1,24
Bruno Sundov,IND,None,Croatia,15.96,45.815,1998,2,35
Toni Kukoc,ATL,None,Croatia,15.96,45.815,1990,2,29
Eduardo Najera,DAL,Oklahoma,Mexico,-99.1332,19.432,2000,2,38
Hanno Mottola,ATL,Utah,Finland,24.94,60.19,2000,2,40
Hedo Turkoglu,SAC,None,Turkey,28.97,41.01,2000,1,16
Jamaal Magloire,CHH,Kentucky,Canada,-102.46,52.32,2000,1,19
Todd MacCulloch,NJN,Washington,Canada,-102.46,52.32,1999,2,47
Steve Nash,DAL,Santa Clara,Canada,-102.46,52.32,1996,1,15
Rick Fox,LAL,North Carolina,Canada,-102.46,52.32,1991,1,24
Olumide Oyedeji,SEA,None,Nigeria,7.49,9.072,2000,2,42
Obinna Ekezie,LAC,Maryland,Nigeria,7.49,9.072,1999,2,37
Michael Olowokandi,LAC,Pacific,Nigeria,7.49,9.072,1998,1,1
Hakeem Olajuwon,TOR,Houston,Nigeria,7.49,9.072,1984,1,1
Primoz Brezec,IND,None,Slovenia,14.50,46.05,2000,1,27
Rasho Nesterovic,MIN,None,Slovenia,14.50,46.05,1998,1,17
Andrei Kirilenko,UTA,None,Russia,55.75,37.61,1999,1,24
Dirk Nowitzki,DAL,None,Germany,11.43,48.77,1998,1,9
Felipe Lopez,MIN,St. John's,Dominican Republic,-69.92,18.48,1998,1,24
Sean Marks,MIA,California,New Zealand,174.77,-41.27,1998,2,44
Vladimir Stepania,MIA,None,Georgia,44.78,41.71,1998,1,27
Adonal Foyle,GSW,Colgate,St. Vincent & Grenadines,-61.22,13.01,1997,1,8
Zydrunas Ilgauskas,CLE,None,Lithuania,25.27,54.68,1996,1,20
Dikembe Mutombo,PHI,Georgetown,Congo,15.30,-4.32,1991,1,4
Patrick Ewing,ORL,Georgetown,Jamaica,-77.8,18.47,1985,1,1
