PLAYER,TEAM,COLLEGE,COUNTRY,lon,lat,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER
Abdel Nader,PHX,Iowa State,Egypt,31.23,30.03,2016,2,58
Admiral Schofield,ORL,Tennessee,United Kingdom,-1.080,53.95,2019,2,42
OG Anunoby,TOR,Indiana,United Kingdom,-1.080,53.95,2017,1,23
Al Horford,BOS,Florida,Dominican Republic,-69.92,18.48,2007,1,3
Chris Duarte,IND,Oregon,Dominican Republic,-69.92,18.48,2021,1,13
Aleksej Pokusevski,OKC,None,Serbia,20.45,44.78,2020,1,17
Boban Marjanovic,DAL,None,Serbia,20.45,44.78,Undrafted,Undrafted,Undrafted
Bogdan Bogdanovic,ATL,None,Serbia,20.45,44.78,2014,1,27
Nemanja Bjelica,GSW,None,Serbia,20.45,44.78,2010,2,35
Nikola Jokic,DEN,None,Serbia,20.45,44.78,2014,2,41
Alex Len,SAC,Maryland,Ukraine,37.80,48.00,2013,1,5
Svi Mykhailiuk,TOR,Kansas,Ukraine,37.80,48.00,2018,2,47
Alperen Sengun,HOU,None,Turkey,28.97,41.01,2021,1,16
Cedi Osman,CLE,None,Turkey,28.97,41.01,2015,2,31
Enes Freedom,BOS,None,Turkey,28.97,41.01,2011,1,3
Furkan Korkmaz,PHI,None,Turkey,28.97,41.01,2016,1,26
Omer Yurtseven,MIA,Georgetown,Turkey,28.97,41.01,Undrafted,Undrafted,Undrafted
Andrew Wiggins,GSW,Kansas,Canada,-102.46,52.32,2014,1,1
Brandon Clarke,MEM,Gonzaga,Canada,-102.46,52.32,2019,1,21
Cory Joseph,DET,Texas-Austin,Canada,-102.46,52.32,2011,1,29
Dalano Banton,TOR,Nebraska,Canada,-102.46,52.32,2021,2,46
Dillon Brooks,MEM,Oregon,Canada,-102.46,52.32,2017,2,45
Dwight Powell,DAL,Stanford,Canada,-102.46,52.32,2014,2,45
Ignas Brazdeikis,ORL,Michigan,Canada,-102.46,52.32,2019,2,47
Joshua Primo,SAS,Alabama,Canada,-102.46,52.32,2021,1,12
Kelly Olynyk,DET,Gonzaga,Canada,-102.46,52.32,2013,1,13
Kevin Pangos,CLE,Gonzaga,Canada,-102.46,52.32,Undrafted,Undrafted,Undrafted
Khem Birch,TOR,UNLV,Canada,-102.46,52.32,Undrafted,Undrafted,Undrafted
Lindell Wigginton,MIL,Iowa State,Canada,-102.46,52.32,2019,,
Luguentz Dort,OKC,Arizona State,Canada,-102.46,52.32,Undrafted,Undrafted,Undrafted
Mychal Mulder,MIA,Kentucky,Canada,-102.46,52.32,Undrafted,Undrafted,Undrafted
Nickeil Alexander-Walker,UTA,Virginia Tech,Canada,-102.46,52.32,2019,1,17
Nik Stauskas,BOS,Michigan,Canada,-102.46,52.32,2014,1,8
Oshae Brissett,IND,Syracuse,Canada,-102.46,52.32,Undrafted,Undrafted,Undrafted
RJ Barrett,NYK,Duke,Canada,-102.46,52.32,2019,1,3
Shai Gilgeous-Alexander,OKC,Kentucky,Canada,-102.46,52.32,2018,1,11
Trey Lyles,SAC,Kentucky,Canada,-102.46,52.32,2015,1,12
Tristan Thompson,CHI,Texas-Austin,Canada,-102.46,52.32,2011,1,4
Arnoldas Kulboka,CHA,None,Lithuania,25.27,54.68,2018,2,55
Deividas Sirvydis,DET,None,Lithuania,25.27,54.68,2019,2,37
Domantas Sabonis,SAC,Gonzaga,Lithuania,25.27,54.68,2016,1,11
Jonas Valanciunas,NOP,None,Lithuania,25.27,54.68,2011,1,5
Bismack Biyombo,PHX,None,DRC,15.82,-0.228,2011,1,7
Emmanuel Mudiay,SAC,None,DRC,15.82,-0.228,2015,1,7
Jonathan Kuminga,GSW,None,DRC,15.82,-0.228,2021,1,7
Bojan Bogdanovic,UTA,None,Croatia,15.96,45.815,2011,2,31
Ivica Zubac,LAC,None,Croatia,15.96,45.815,2016,2,32
Bol Bol,ORL,Oregon,Sudan,32.5,15.50,2019,2,44
Bruno Fernando,HOU,Maryland,Angola,13.234,-8.83,2019,2,34
Buddy Hield,IND,Oklahoma,Bahamas,-77.34,25.05,2016,1,6
Deandre Ayton,PHX,Arizona,Bahamas,-77.34,25.05,2018,1,1
Kai Jones,CHA,Texas-Austin,Bahamas,-77.34,25.05,2021,1,19
Cam Thomas,BKN,Louisiana State,Japan,139.83,35.65,2021,1,27
Rui Hachimura,WAS,Gonzaga,Japan,139.83,35.65,2019,1,9
Yuta Watanabe,TOR,George Washington,Japan,139.83,35.65,Undrafted,Undrafted,Undrafted
Charles Bassey,PHI,Western Kentucky,Nigeria,7.49,9.072,2021,2,53
Eugene Omoruyi,DAL,Oregon,Nigeria,7.49,9.072,Undrafted,Undrafted,Undrafted
Josh Okogie,MIN,Georgia Tech,Nigeria,7.49,9.072,2018,1,20
Precious Achiuwa,TOR,Memphis,Nigeria,7.49,9.072,2020,1,20
Udoka Azubuike,UTA,Kansas,Nigeria,7.49,9.072,2020,1,27
Cheick Diallo,DET,Kansas,Mali,-3.996,17.570,2016,2,33
Chris Boucher,TOR,Oregon,Saint Lucia,-60.97,13.90,Undrafted,Undrafted,Undrafted
Chris Silva,MIA,South Carolina,Gabon,9.45,0.39,Undrafted,Undrafted,Undrafted
Clint Capela,ATL,None,Switzerland,6.14,46.204,2014,1,25
Daniel Theis,BOS,None,Germany,11.43,48.77,Undrafted,Undrafted,Undrafted
Dennis Schroder,HOU,None,Germany,11.43,48.77,2013,1,17
Duane Washington Jr.,IND,Ohio State,Germany,11.43,48.77,Undrafted,Undrafted,Undrafted
Franz Wagner,ORL,Michigan,Germany,11.43,48.77,2021,1,8
Isaac Bonga,TOR,None,Germany,11.43,48.77,2018,2,39
Isaiah Hartenstein,LAC,None,Germany,11.43,48.77,2017,2,43
Maxi Kleber,DAL,None,Germany,11.43,48.77,Undrafted,Undrafted,Undrafted
Moritz Wagner,ORL,Michigan,Germany,11.43,48.77,2018,1,25
Danilo Gallinari,ATL,None,Italy,12.496,41.90,2008,1,6
Davis Bertans,DAL,None,Latvia,24.10,56.946,2011,2,42
Kristaps Porzingis,WAS,None,Latvia,24.10,56.946,2015,1,4
Deni Avdija,WAS,None,Israel,35.21,31.77,2020,1,9
Didi Louzada,POR,None,Brazil,-46.625,-23.533,2019,2,35
Raul Neto,WAS,None,Brazil,-46.625,-23.533,2013,2,47
Evan Fournier,NYK,None,France,2.29,48.85,2012,1,20
Frank Ntilikina,DAL,None,France,2.29,48.85,2017,1,8
Jaylen Hoard,OKC,Wake Forest,France,2.29,48.85,Undrafted,Undrafted,Undrafted
Joel Ayayi,WAS,Gonzaga,France,2.29,48.85,Undrafted,Undrafted,Undrafted
Killian Hayes,DET,None,France,2.29,48.85,2020,1,7
Killian Tillie,MEM,Gonzaga,France,2.29,48.85,Undrafted,Undrafted,Undrafted
Nicolas Batum,LAC,None,France,2.29,48.85,2008,1,25
Olivier Sarr,OKC,Kentucky,France,2.29,48.85,Undrafted,Undrafted,Undrafted
Petr Cornelie,DEN,None,France,2.29,48.85,2016,2,53
Rudy Gobert,UTA,None,France,2.29,48.85,2013,1,27
Sekou Doumbouya,LAL,None,France,2.29,48.85,2019,1,15
Theo Maledon,OKC,None,France,2.29,48.85,2020,2,34
Timothe Luwawu-Cabarrot,ATL,None,France,2.29,48.85,2016,1,24
Yves Pons,MEM,Tennessee,France,2.29,48.85,Undrafted,Undrafted,Undrafted
Facundo Campazzo,DEN,None,Argentina,-58.38,-34.6,Undrafted,Undrafted,Undrafted
Gabriel Deck,OKC,None,Argentina,-58.38,-34.6,Undrafted,Undrafted,Undrafted
Leandro Bolmaro,MIN,None,Argentina,-58.38,-34.6,2020,1,23
Gabriel Lundberg,PHX,None,Denmark,12.5,55.67,Undrafted,Undrafted,Undrafted
Georgios Kalaitzakis,OKC,None,Greece,23.72,37.98,2021,2,60
Giannis Antetokounmpo,MIL,None,Greece,23.72,37.98,2013,1,15
Thanasis Antetokounmpo,MIL,None,Greece,23.72,37.98,2014,2,51
Goga Bitadze,IND,None,Georgia,44.78,41.71,2019,1,18
Sandro Mamukelashvili,MIL,Seton Hall,Georgia,44.78,41.71,2021,2,54
Goran Dragic,BKN,None,Slovenia,14.50,46.05,2008,2,45
Luka Doncic,DAL,None,Slovenia,14.50,46.05,2018,1,3
Vlatko Cancar,DEN,None,Slovenia,14.50,46.05,2017,2,49
Gorgui Dieng,ATL,Louisville,Senegal,-17.4676,14.7166,2013,1,21
Tacko Fall,CLE,Central Florida,Senegal,-17.4676,14.7166,Undrafted,Undrafted,Undrafted
Jaime Echenique,WAS,Wichita State,Colombia,-74.0,4.62,Undrafted,Undrafted,Undrafted
Jakob Poeltl,SAS,Utah,Austria,16.36,48.21,2016,1,9
Jock Landale,SAS,None,Australia,150.91,-31.083,Undrafted,Undrafted,Undrafted
Joe Ingles,POR,None,Australia,150.91,-31.083,Undrafted,Undrafted,Undrafted
Josh Giddey,OKC,None,Australia,150.91,-31.083,2021,1,6
Josh Green,DAL,Arizona,Australia,150.91,-31.083,2020,1,18
Kyrie Irving,BKN,Duke,Australia,150.91,-31.083,2011,1,1
Patty Mills,BKN,St.Mary's College of California,Australia,150.91,-31.083,2009,2,55
Joel Embiid,PHI,Kansas,Cameroon,9.78,4.06,2014,1,3
Pascal Siakam,TOR,New Mexico State,Cameroon,9.78,4.06,2016,1,27
Juancho Hernangomez,UTA,None,Spain,-3.70,40.416,2016,1,15
Ricky Rubio,IND,None,Spain,-3.70,40.416,2009,1,5
Santi Aldama,MEM,Loyola-Maryland,Spain,-3.70,40.416,2021,1,30
Usman Garuba,HOU,None,Spain,-3.70,40.416,2021,1,23
Willy Hernangomez,NOP,None,Spain,-3.70,40.416,2015,2,35
Jusuf Nurkic,POR,None,Bosnia and Herzegovina,18.41,43.856,2014,1,16
Lauri Markkanen,CLE,Arizona,Finland,26,64,2017,1,7
Mamadi Diakite,OKC,Virginia,Guinea,-13.7,9.50,Undrafted,Undrafted,Undrafted
Marko Simonovic,CHI,None,Montenegro,19.26,42.44,2020,2,44
Nikola Vucevic,CHI,Southern California,Montenegro,19.26,42.44,2011,1,16
Neemias Queta,SAC,Utah State,Portugal,-9.14,38.73,2021,2,39
Nick Richards,CHA,Kentucky,Jamaica,-77.89,18.47,2020,2,42
Serge Ibaka,MIL,None,Republic of the Congo,15.82,-0.228,2008,1,24
Steven Adams,MEM,Pittsburgh,New Zealand,174.77,-41.27,2013,1,12
Tomas Satoransky,WAS,None,Czech Republic,14.418,50.0,2012,2,32
Vit Krejci,OKC,None,Czech Republic,14.418,50.0,2020,2,37
Wenyen Gabriel,LAL,Kentucky,South Sudan,31.57,4.85,Undrafted,Undrafted,Undrafted
