PLAYER,TEAM,COLLEGE,COUNTRY,lon,lat,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER
Abdel Nader,OKC,Iowa State,Egypt,31.23,30.03,2016,2,58
Adam Mokoka,CHI,None,France,2.29,48.85,Undrafted,Undrafted,Undrafted
Elie Okobo,PHX,None,France,2.29,48.85,2018,2,31
Evan Fournier,ORL,None,France,2.29,48.85,2012,1,20
Frank Ntilikina,NYK,None,France,2.29,48.85,2017,1,8
Ian Mahinmi,WAS,None,France,2.29,48.85,2005,1,28
Jaylen Hoard,POR,Wake Forest,France,2.29,48.85,Undrafted,Undrafted,Undrafted
Nicolas Batum,CHA,None,France,2.29,48.85,2008,1,25
Rudy Gobert,UTA,None,France,2.29,48.85,2013,1,27
Sekou Doumbouya,DET,None,France,2.29,48.85,2019,1,15
Timothe Luwawu-Cabarrot,BKN,None,France,2.29,48.85,2016,1,24
Vincent Poirier,BOS,None,France,2.29,48.85,Undrafted,Undrafted,Undrafted
William Howard,HOU,None,France,2.29,48.85,Undrafted,Undrafted,Undrafted
Admiral Schofield,WAS,Tennessee,United Kingdom,-1.080,53.95,2019,2,42
OG Anunoby,TOR,Indiana,United Kingdom,-1.080,53.95,2017,1,23
Al Horford,PHI,Florida,Dominican Republic,-69.92,18.48,2007,1,3
Alen Smailagic,GSW,None,Serbia,20.45,44.78,2019,2,39
Boban Marjanovic,DAL,None,Serbia,20.45,44.78,Undrafted,Undrafted,Undrafted
Bogdan Bogdanovic,SAC,None,Serbia,20.45,44.78,2014,1,27
Marko Guduric,MEM,None,Serbia,20.45,44.78,Undrafted,Undrafted,Undrafted
Nemanja Bjelica,SAC,None,Serbia,20.45,44.78,2010,2,35
Nikola Jokic,DEN,None,Serbia,20.45,44.78,2014,2,41
Alex Len,SAC,Maryland,Ukraine,37.80,48.00,2013,1,5
Svi Mykhailiuk,DET,Kansas,Ukraine,37.80,48.00,2018,2,47
Andrew Wiggins,GSW,Kansas,Canada,-102.46,52.32,2014,1,1
Brandon Clarke,MEM,Gonzaga,Canada,-102.46,52.32,2019,1,21
Cory Joseph,SAC,Texas-Austin,Canada,-102.46,52.32,2011,1,29
Dillon Brooks,MEM,Oregon,Canada,-102.46,52.32,2017,2,45
Dwight Powell,DAL,Stanford,Canada,-102.46,52.32,2014,2,45
Ignas Brazdeikis,NYK,Michigan,Canada,-102.46,52.32,2019,2,47
Jamal Murray,DEN,Kentucky,Canada,-102.46,52.32,2016,1,7
Kelly Olynyk,MIA,Gonzaga,Canada,-102.46,52.32,2013,1,13
Khem Birch,ORL,UNLV,Canada,-102.46,52.32,Undrafted,Undrafted,Undrafted
Kyle Alexander,MIA,Tennessee,Canada,-102.46,52.32,Undrafted,Undrafted,Undrafted
Luguentz Dort,OKC,Arizona State,Canada,-102.46,52.32,Undrafted,Undrafted,Undrafted
Marial Shayok,PHI,Iowa State,Canada,-102.46,52.32,2019,2,54
Mfiondu Kabengele,LAC,Florida State,Canada,-102.46,52.32,2019,1,27
Mychal Mulder,GSW,Kentucky,Canada,-102.46,52.32,Undrafted,Undrafted,Undrafted
Naz Mitrou-Long,IND,Iowa State,Canada,-102.46,52.32,Undrafted,Undrafted,Undrafted
Nickeil Alexander-Walker,NOP,Virginia Tech,Canada,-102.46,52.32,2019,1,17
Oshae Brissett,TOR,Syracuse,Canada,-102.46,52.32,Undrafted,Undrafted,Undrafted
RJ Barrett,NYK,Duke,Canada,-102.46,52.32,2019,1,3
Shai Gilgeous-Alexander,OKC,Kentucky,Canada,-102.46,52.32,2018,1,11
Trey Lyles,SAS,Kentucky,Canada,-102.46,52.32,2015,1,12
Tristan Thompson,CLE,Texas-Austin,Canada,-102.46,52.32,2011,1,4
Ante Zizic,CLE,None,Croatia,15.96,45.815,2016,1,23
Bojan Bogdanovic,UTA,None,Croatia,15.96,45.815,2011,2,31
Dario Saric,PHX,None,Croatia,15.96,45.815,2014,1,12
Dragan Bender,GSW,None,Croatia,15.96,45.815,2016,1,4
Ivica Zubac,LAC,None,Croatia,15.96,45.815,2016,2,32
Luka Samanic,SAS,None,Croatia,15.96,45.815,2019,1,19
Mario Hezonja,POR,None,Croatia,15.96,45.815,2015,1,5
Anzejs Pasecniks,WAS,None,Latvia,24.10,56.946,2017,1,25
Davis Bertans,WAS,None,Latvia,24.10,56.946,2011,2,42
Kristaps Porzingis,DAL,None,Latvia,24.10,56.946,2015,1,4
Rodions Kurucs,BKN,None,Latvia,24.10,56.946,2018,2,40
Aron Baynes,PHX,Washington State,Australia,150.91,-31.083,Undrafted,Undrafted,Undrafted
Ben Simmons,PHI,Louisiana State,Australia,150.91,-31.083,2016,1,1
Dante Exum,CLE,None,Australia,150.91,-31.083,2014,1,5
Joe Ingles,UTA,None,Australia,150.91,-31.083,Undrafted,Undrafted,Undrafted
Jonah Bolden,PHX,UCLA,Australia,150.91,-31.083,2017,2,36
Kyrie Irving,BKN,Duke,Australia,150.91,-31.083,2011,1,1
Matthew Dellavedova,CLE,St.Mary's College of California,Australia,150.91,-31.083,Undrafted,Undrafted,Undrafted
Patty Mills,SAS,St.Mary's College of California,Australia,150.91,-31.083,2009,2,55
Ryan Broekhoff,PHI,Valparaiso,Australia,150.91,-31.083,Undrafted,Undrafted,Undrafted
Bismack Biyombo,CHA,None,DRC,15.82,-0.228,2011,1,7
Emmanuel Mudiay,UTA,None,DRC,15.82,-0.228,2015,1,7
Bol Bol,DEN,Oregon,Sudan,32.5,15.50,2019,2,44
Bruno Caboclo,HOU,None,Brazil,-46.625,-23.533,2014,1,20
Cristiano Felicio,CHI,None,Brazil,-46.625,-23.533,Undrafted,Undrafted,Undrafted
Raul Neto,PHI,None,Brazil,-46.625,-23.533,2013,2,47
Bruno Fernando,ATL,Maryland,Angola,13.234,-8.83,2019,2,34
Buddy Hield,SAC,Oklahoma,Bahamas,-77.34,25.05,2016,1,6
Deandre Ayton,PHX,Arizona,Bahamas,-77.34,25.05,2018,1,1
Cedi Osman,CLE,None,Turkey,28.97,41.01,2015,2,31
Enes Freedom,BOS,None,Turkey,28.97,41.01,2011,1,3
Ersan Ilyasova,MIL,None,Turkey,28.97,41.01,2005,2,36
Furkan Korkmaz,PHI,None,Turkey,28.97,41.01,2016,1,26
Cheick Diallo,PHX,Kansas,Mali,-3.996,17.570,2016,2,33
Chris Boucher,TOR,Oregon,Saint Lucia,-60.97,13.90,Undrafted,Undrafted,Undrafted
Chris Silva,MIA,South Carolina,Gabon,9.45,0.39,Undrafted,Undrafted,Undrafted
Clint Capela,ATL,None,Switzerland,6.14,46.204,2014,1,25
Thabo Sefolosha,HOU,None,Switzerland,6.14,46.204,2006,1,13
Daniel Theis,BOS,None,Germany,11.43,48.77,Undrafted,Undrafted,Undrafted
Dennis Schroder,OKC,None,Germany,11.43,48.77,2013,1,17
Isaac Bonga,WAS,None,Germany,11.43,48.77,2018,2,39
Isaiah Hartenstein,HOU,None,Germany,11.43,48.77,2017,2,43
Maxi Kleber,DAL,None,Germany,11.43,48.77,Undrafted,Undrafted,Undrafted
Moritz Wagner,WAS,Michigan,Germany,11.43,48.77,2018,1,25
Danilo Gallinari,OKC,None,Italy,12.496,41.90,2008,1,6
Marco Belinelli,SAS,None,Italy,12.496,41.90,2007,1,18
Nicolo Melli,NOP,None,Italy,12.496,41.90,Undrafted,Undrafted,Undrafted
Domantas Sabonis,IND,Gonzaga,Lithuania,25.27,54.68,2016,1,11
Jonas Valanciunas,MEM,None,Lithuania,25.27,54.68,2011,1,5
Dzanan Musa,BKN,None,Bosnia and Herzegovina,18.41,43.856,2018,1,29
Jusuf Nurkic,POR,None,Bosnia and Herzegovina,18.41,43.856,2014,1,16
Giannis Antetokounmpo,MIL,None,Greece,23.72,37.98,2013,1,15
Kostas Antetokounmpo,LAL,Dayton,Greece,23.72,37.98,2018,2,60
Thanasis Antetokounmpo,MIL,None,Greece,23.72,37.98,2014,2,51
Goga Bitadze,IND,None,Georgia,44.78,41.71,2019,1,18
Goran Dragic,MIA,None,Slovenia,14.50,46.05,2008,2,45
Luka Doncic,DAL,None,Slovenia,14.50,46.05,2018,1,3
Vlatko Cancar,DEN,None,Slovenia,14.50,46.05,2017,2,49
Gorgui Dieng,MEM,Louisville,Senegal,-17.4676,14.7166,2013,1,21
Tacko Fall,BOS,Central Florida,Senegal,-17.4676,14.7166,Undrafted,Undrafted,Undrafted
J.J. Barea,DAL,Northeastern,Puerto Rico,-66.664,18.200,Undrafted,Undrafted,Undrafted
Jakob Poeltl,SAS,Utah,Austria,16.36,48.21,2016,1,9
Joel Embiid,PHI,Kansas,Cameroon,9.78,4.06,2014,1,3
Luc Mbah a Moute,HOU,UCLA,Cameroon,9.78,4.06,2008,2,37
