PLAYER,TEAM,COLLEGE,COUNTRY,lon,lat,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER
Al Horford,ATL,Florida,Dominican Republic,-69.92,18.48,2007,1,3
Francisco Garcia,SAC,Louisville,Dominican Republic,-69.92,18.48,2005,1,23
Anderson Varejao,CLE,None,Brazil,-46.625,-23.533,2004,2,30
Leandro Barbosa,IND,None,Brazil,-46.625,-23.533,2003,1,28
Nene,WAS,None,Brazil,-46.625,-23.533,2002,1,7
Tiago Splitter,SAS,None,Brazil,-46.625,-23.533,2007,1,28
Andrea Bargnani,TOR,None,Italy,12.496,41.90,2006,1,1
Danilo Gallinari,DEN,None,Italy,12.496,41.90,2008,1,6
Marco Belinelli,NOH,None,Italy,12.496,41.90,2007,1,18
Andres Nocioni,PHI,None,Argentina,-58.38,-34.6,Undrafted,Undrafted,Undrafted
Carlos Delfino,MIL,None,Argentina,-58.38,-34.6,2003,1,25
Luis Scola,HOU,None,Argentina,-58.38,-34.6,2002,2,55
Manu Ginobili,SAS,None,Argentina,-58.38,-34.6,1999,2,57
Andrew Bogut,MIL,Utah,Australia,150.91,-31.083,2005,1,1
Kyrie Irving,CLE,Duke,Australia,150.91,-31.083,2011,1,1
Patty Mills,SAS,St.Mary's College of California,Australia,150.91,-31.083,2009,2,55
Andris Biedrins,GSW,None,Latvia,24.10,56.946,2004,1,11
Beno Udrih,MIL,None,Slovenia,14.50,46.05,2004,1,28
Goran Dragic,HOU,None,Slovenia,14.50,46.05,2008,2,45
Bismack Biyombo,CHA,None,DRC,15.82,-0.228,2011,1,7
Boris Diaw,SAS,None,France,2.29,48.85,2003,1,21
Ian Mahinmi,DAL,None,France,2.29,48.85,2005,1,28
Johan Petro,NJN,None,France,2.29,48.85,2005,1,25
Kevin Seraphin,WAS,None,France,2.29,48.85,2010,1,17
Mickael Pietrus,BOS,None,France,2.29,48.85,2003,1,11
Nicolas Batum,POR,None,France,2.29,48.85,2008,1,25
Rodrigue Beaubois,DAL,None,France,2.29,48.85,2009,1,25
Ronny Turiaf,MIA,Gonzaga,France,2.29,48.85,2005,2,37
Tony Parker,SAS,None,France,2.29,48.85,2001,1,28
Christian Eyenga,LAL,None,Congo,15.30,-4.32,2009,1,30
Cory Joseph,SAS,Texas-Austin,Canada,-102.46,52.32,2011,1,29
Jamaal Magloire,TOR,Kentucky,Canada,-102.46,52.32,2000,1,19
Joel Anthony,MIA,UNLV,Canada,-102.46,52.32,Undrafted,Undrafted,Undrafted
Steve Nash,PHX,Santa Clara,Canada,-102.46,52.32,1996,1,15
Tristan Thompson,CLE,Texas-Austin,Canada,-102.46,52.32,2011,1,4
Dan Gadzuric,NYK,UCLA,Netherlands,4.89,52.37,2002,2,33
Francisco Elson,PHI,California,Netherlands,4.89,52.37,1999,2,41
Darko Milicic,MIN,None,Serbia,20.45,44.78,2003,1,2
Vladimir Radmanovic,ATL,None,Serbia,20.45,44.78,2001,1,12
DeSagana Diop,CHA,None,Senegal,-17.4676,14.7166,2001,1,8
Hamady Ndiaye,WAS,Rutgers,Senegal,-17.4676,14.7166,2010,2,56
Dirk Nowitzki,DAL,None,Germany,11.43,48.77,1998,1,9
Eduardo Najera,CHA,Oklahoma,Mexico,-99.1332,19.432,2000,2,38
Gustavo Ayon,NOH,None,Mexico,-99.1332,19.432,Undrafted,Undrafted,Undrafted
Edwin Ubiles,WAS,Siena,Puerto Rico,-66.664,18.200,Undrafted,Undrafted,Undrafted
J.J. Barea,MIN,Northeastern,Puerto Rico,-66.664,18.200,Undrafted,Undrafted,Undrafted
Enes Freedom,UTA,None,Turkey,28.97,41.01,2011,1,3
Ersan Ilyasova,MIL,None,Turkey,28.97,41.01,2005,2,36
Hedo Turkoglu,ORL,None,Turkey,28.97,41.01,2000,1,16
Mehmet Okur,NJN,None,Turkey,28.97,41.01,2001,2,37
Omer Asik,CHI,None,Turkey,28.97,41.01,2008,2,36
Semih Erden,CLE,None,Turkey,28.97,41.01,2008,2,60
Gary Forbes,TOR,Massachusetts,Panama,-79.5,8.983,Undrafted,Undrafted,Undrafted
