PLAYER,TEAM,COLLEGE,COUNTRY,lon,lat,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER
Al Horford,ATL,Florida,Dominican Republic,-69.92,18.48,2007,1,3
Francisco Garcia,HOU,Louisville,Dominican Republic,-69.92,18.48,2005,1,23
Alex Len,PHX,Maryland,Ukraine,37.80,48.00,2013,1,5
Alexey Shved,NYK,None,Russia,55.75,37.61,Undrafted,Undrafted,Undrafted
Andrei Kirilenko,BKN,None,Russia,55.75,37.61,1999,1,24
Sergey Karasev,BKN,None,Russia,55.75,37.61,2013,1,19
Timofey Mozgov,CLE,None,Russia,55.75,37.61,Undrafted,Undrafted,Undrafted
Alexis Ajinca,NOP,None,France,2.29,48.85,2008,1,20
Boris Diaw,SAS,None,France,2.29,48.85,2003,1,21
Evan Fournier,ORL,None,France,2.29,48.85,2012,1,20
Ian Mahinmi,IND,None,France,2.29,48.85,2005,1,28
Joffrey Lauvergne,DEN,None,France,2.29,48.85,2013,2,55
Kevin Seraphin,WAS,None,France,2.29,48.85,2010,1,17
Nicolas Batum,POR,None,France,2.29,48.85,2008,1,25
Ronny Turiaf,MIN,Gonzaga,France,2.29,48.85,2005,2,37
Rudy Gobert,UTA,None,France,2.29,48.85,2013,1,27
Tony Parker,SAS,None,France,2.29,48.85,2001,1,28
Anderson Varejao,CLE,None,Brazil,-46.625,-23.533,2004,2,30
Bruno Caboclo,TOR,None,Brazil,-46.625,-23.533,2014,1,20
Leandro Barbosa,GSW,None,Brazil,-46.625,-23.533,2003,1,28
Lucas Nogueira,TOR,None,Brazil,-46.625,-23.533,2013,1,16
Nene,WAS,None,Brazil,-46.625,-23.533,2002,1,7
Tiago Splitter,SAS,None,Brazil,-46.625,-23.533,2007,1,28
Andrea Bargnani,NYK,None,Italy,12.496,41.90,2006,1,1
Danilo Gallinari,DEN,None,Italy,12.496,41.90,2008,1,6
Gigi Datome,BOS,None,Italy,12.496,41.90,Undrafted,Undrafted,Undrafted
Marco Belinelli,SAS,None,Italy,12.496,41.90,2007,1,18
Andrew Bogut,GSW,Utah,Australia,-58.38,-34.6,2005,1,1
Aron Baynes,SAS,Washington State,Australia,-58.38,-34.6,Undrafted,Undrafted,Undrafted
Cameron Bairstow,CHI,New Mexico,Australia,-58.38,-34.6,2014,2,49
Dante Exum,UTA,None,Australia,-58.38,-34.6,2014,1,5
Joe Ingles,UTA,None,Australia,-58.38,-34.6,Undrafted,Undrafted,Undrafted
Kyrie Irving,CLE,Duke,Australia,-58.38,-34.6,2011,1,1
Matthew Dellavedova,CLE,St.Mary's College of California,Australia,-58.38,-34.6,Undrafted,Undrafted,Undrafted
Patty Mills,SAS,St.Mary's College of California,Australia,-58.38,-34.6,2009,2,55
Andrew Nicholson,ORL,St. Bonaventure,Canada,-102.46,52.32,2012,1,19
Andrew Wiggins,MIN,Kansas,Canada,-102.46,52.32,2014,1,1
Anthony Bennett,MIN,UNLV,Canada,-102.46,52.32,2013,1,1
Cory Joseph,SAS,Texas-Austin,Canada,-102.46,52.32,2011,1,29
Dwight Powell,DAL,Stanford,Canada,-102.46,52.32,2014,2,45
Joel Anthony,DET,UNLV,Canada,-102.46,52.32,Undrafted,Undrafted,Undrafted
Kelly Olynyk,BOS,Gonzaga,Canada,-102.46,52.32,2013,1,13
Nik Stauskas,SAC,Michigan,Canada,-102.46,52.32,2014,1,8
Robert Sacre,LAL,Gonzaga,Canada,-102.46,52.32,2012,2,60
Sim Bhullar,SAC,New Mexico State,Canada,-102.46,52.32,Undrafted,Undrafted,Undrafted
Tristan Thompson,CLE,Texas-Austin,Canada,-102.46,52.32,2011,1,4
Tyler Ennis,MIL,Syracuse,Canada,-102.46,52.32,2014,1,18
Beno Udrih,MEM,None,Slovenia,14.50,46.05,2004,1,28
